m_no	m_name	l_no	m_dir	m_plot	g_no	m_startday	m_endday	srm_srmno
11	서브스턴스	4	코랄리 파르자	"더 나은 당신을 꿈꿔본 적 있는가?
한때 아카데미상을 수상하고 명예의 거리까지 입성한 대스타였지만,
지금은 TV 에어로빅 쇼 진행자로 전락한 엘리자베스(데미 무어).
50살이 되던 날, 프로듀서 하비(데니스 퀘이드)에게서
“어리고 섹시하지 않다”는 이유로 해고를 당한다.
돌아가던 길에 차 사고로 병원에 실려간 엘리자베스는
매력적인 남성 간호사로부터 ‘서브스턴스’라는 약물을 권유 받는다.
한 번의 주사로 “젊고 아름답고 완벽한” 수(마가렛 퀄리)가 탄생하는데...
 
단 한 가지 규칙, 당신에게 주어진 시간을 지킬 것.
각각 7일간의 완벽한 밸런스를 유지한다면 무엇이 잘못되겠는가?
‘기억하라, 당신은 하나다!’"	18	2025-09-01	2025-09-22	3
12	정동원 성탄총동원 더 무비	1	나상인	"선물 같은 무대, 꿈 같은 시간
잊지 못할 우리들의 크리스마스!'

뛰어난 가창력과 무대 장악력으로 모두를 사로잡은
만능 아티스트 정동원의 '2024년 성탄총동원'을 극장에서!

정동원의 성장을 오롯이 담은 지난 3년간의 콘서트 주요 무대부터
그와 동료 아티스트들의 진솔한 인터뷰까지,
오직 이번 영화를 통해서만 만나볼 수 있는 보석 같은 순간들!

우주총동원을 향한 최고의 크리스마스 선물이 지금 스크린에 펼쳐진다"	14	2025-09-02	2025-09-16	6
13	밀레니엄 맘보	4	허우 샤오시엔	"그녀는 하오하오와 헤어졌지만 그는 늘 그녀를 찾아냈다
주술이나 최면에 걸린 것처럼 벗어날 수 없었다
그녀는 늘 돌아왔고 스스로 다짐했다

""은행에 있는 50만 대만달러를
전부 써 버리면 그를 영영 떠날 거야“

그녀는 클럽에서 잭을 만났다
잭은 항상 그녀를 데리고 다녔고
그녀를 가장 친한 친구처럼 대해 줬다

이 일은 10년 전인 2001년의 일이었다
세계는 21세기를 맞이했고, 새로운 밀레니엄을 축하했다"	7	2025-09-03	2025-09-17	2
14	뽀로로 극장판 바닷속 대모험	1	윤제완	"“대장님 같은 영웅이 되고 싶어요!”
 
바다의 수호자 ‘레드헌터스’를 이끄는 ‘머록’ 대장을 따라
바다를 지키는 영웅이 되기 위해
바닷속 모험을 떠난 뽀로로와 친구들.
 
하지만 거대한 괴물 ‘시터스’가
뽀로로와 친구들의 잠수함을 통째로 삼켜버리고,
‘머록’ 대장의 도움으로 가까스로 구출된 ‘뽀로로’와 ‘크롱’은
‘시터스’에게 잡혀간 친구들을 구하기 위해
‘최후의 시터스’ 사냥에 나선 ‘레드헌터스’의
마지막 작전에 함께하기로 한다.
 
그러나, 비밀스러운 소녀 ‘마린’이 나타나
그들의 작전을 방해하기 시작하고
바닷속에 숨겨진 진짜 비밀이 드러나게 되는데…
 
과연, 뽀로로와 친구들은 신비한 비밀을 풀고
진정한 ‘씨 가디언즈’가 될 수 있을까?"	3	2025-09-04	2025-09-28	2
15	나야, 문희	1	나문희	"나, 문희! AI로 새롭게 데뷔했문희!

'거침없이 하이킥', '아이 캔 스피크', '소풍' 등
셀 수 없이 많은 작품으로
엄청난 사랑을 받고 있는 '국민 배우' 나문희.

여기에 최신 밈을 이끄는 트렌드세터,
틱톡커로 완벽히 변신한 한계 없는 배우로 화제!
이제는 AI 세계관까지 접수한다!

세계 최초 AI 무한 데뷔 유니버스
12월 24일, CGV에서 확인하세요!"	4	2025-09-05	2025-09-26	2
16	극장판 주술회전 0	3	박성후	"어린 시절, 소꿉친구인 오리모토 리카를 교통사고로
눈앞에서 잃은 옷코츠 유타.
“약속해. 리카와 유타는 어른이 되면 결혼하기로.”
옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지,
자신도 죽기를 바라지만
최강의 주술사인 고죠 사토루에 의해
주술고전에 들어가게 된다.
그리고 동급생인 젠인 마키, 이누마키 토게, 판다를 만나면서
굳은 결심을 한다.
“살아도 된다는 자신감이 필요해.”
“나는 주술고전에서 리카의 저주를 풀겠습니다.”
한편, 옷코츠와 친구들 앞에 과거에
일반인을 대량으로 학살해서 고전에서 추방된
최악의 주저사인 게토 스구루가 나타난다.
“12월 24일, 우리는 백귀야행을 간다.”
주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서,
신주쿠와 교토에 천의 저주를 내리는데…….
과연 옷코츠는 게토를 막을 수 있을까?
그리고 리카의 저주를 풀 수 있을까?"	3	2025-09-06	2025-09-27	2
17	대가족	2	양우석	"줄이 끊이지 않는 맛집 사장 무옥
승려 선언한 외아들 문석 때문에 대가 끊기다?
마지막 함씨 가문! 세울 것인가, 무너질 것인가!

자수성가 맛집의 근본, SNS 없던 시절부터 줄 서 먹던 노포 맛집 평만옥의 사장 무옥(김윤석)은
대를 이을 줄 알았던 외아들 문석이 승려가 되어 출가한 이후 근심이 깊어 간다.
자신의 대에서 끊겨버릴 예정인 가문을 걱정하던 가운데
어느 날, 평만옥에 문석이 자신의 아빠라며 방문한 어린 손님들!
끊길 줄 알았던 가문의 대를 잇게 생긴 무옥은 난생 처음 맛보는 행복을 느끼고
문석은 승려가 되기 이전의 과거를 되짚다 그만 충격적인 사실을 알게 되는데…"	4	2025-09-07	2025-09-21	2
18	수퍼 소닉3	1	제프 파울러	"더 빠르고 더 강해야만 한다!
초특급 히어로 소닉 VS 사상 최강의 라이벌 섀도우의 수퍼 빅 매치!

너클즈, 테일즈와 함께 평화로운 일상을 보내던 초특급 히어로 소닉.
연구 시설에 50년간 잠들어 있던 사상 최강의 비밀 병기 ""섀도우""가 탈주하자,
세계 수호 통합 부대(약칭 세.수.통)에 의해 극비 소집된다.
소중한 것을 잃은 분노와 복수심에 불타는 섀도우는  
소닉의 초고속 스피드와 너클즈의 최강 펀치를 단 단숨에 제압해버린다. 
세상을 지배하려는 닥터 로보트닉과 그의 할아버지 제럴드 박사는
섀도우의 엄청난 힘 카오스 에너지를 이용해 인류를 정복하려고 하는데…

초특급 히어로 소닉 VS 사상 최강의 라이벌 섀도우!
전 세계를 파괴하려는 섀도우를 막기 위한 파워업 액션 어드벤처가 시작된다!"	3	2025-09-08	2025-09-22	1
19	이처럼 사소한 것들	2	팀 밀란츠	"1985년 아일랜드의 소도시,
빌 펄롱은 석탄을 팔며
아내, 다섯 딸과 함께 소박하게 살아가고 있다.
크리스마스를 앞둔 어느 날,
지역 수녀원에 석탄을 배달하러 간 빌 펄롱은
숨겨져 있던 어떤 진실을 마주하게 된다."	11	2025-09-09	2025-09-23	3
20	헬보이: 크룩드 맨	3	브라이언 테일러	"원조 다크히어로의 COMEBACK!
‘헬보이’가 지옥에서 돌아왔다!
 
불가사의한 심령 현상을 해결하는
B.R.P.D의 베테랑 해결사 '헬보이'(잭 케시)
 
유령 거미를 퇴치하는 임무 중, 기차 탈선 사고로
애팔레치아 산맥 깊숙이 위치한 음산한 마을에 도착한다
 
그곳은 흑마법사 ‘크룩드 맨’이 지배하고 있다
 
마녀와 저주, 그리고 죽음이 들끓는 마을을 구하기 위해
'헬보이'는 신입 요원 '조'와 함께
죽은 자들을 불러오는 '크룩드 맨'에 맞서는데…
 
오리지널 ‘헬보이’를 만난다!"	20	2025-09-10	2025-09-30	5
21	엠호텔	1	정창익	"화려한 도심 뒷골목,

잠잘 곳을 걱정하며 쓰레기통을 뒤지던 노숙자가

우연히 열쇠를 주워 M호텔로 들어간다.

자신에게 찾아온 행운을 즐기던 그는 M호텔에서 뜻밖에

일들을 겪게 되는데…"	7	2025-09-01	2025-09-19	6
22	중경삼림 리마스터링	3	왕가위	"1994년 홍콩,

“내 사랑의 유통기한은 만 년으로 하고 싶다”
만우절의 이별 통보가 거짓말이길 바라며 술집을 찾은 경찰 223
고단한 하루를 보내고 술집에 들어온 금발머리의 마약밀매상

""그녀가 떠난 후 이 방의 모든 것들이 슬퍼한다""
여자친구가 남긴 이별 편지를 외면하고 있는 경찰 663
편지 속에 담긴 그의 아파트 열쇠를 손에 쥔 단골집 점원 페이

네 사람이 만들어낸 두 개의 로맨스
새로운 사랑을 만나는 방법에 대한 독특한 상상력"	7	2025-09-02	2025-09-16	4
23	퍼스트레이디	2	윤나라	"돋보이고 싶은 욕심에 학력과 경력을 부풀리고
논문 표절 의혹에 휩싸인 대한민국 대통령 영부인.
숱한 무속인 관련설, 대통령실과 공관 이전 논란,
국정개입을 넘어선 공동정권설, 과거 저지른 사문서
위조와 주가조작 연루 사건, 고가의 디올백 수수,
양평고속도로 노선 변경, 민간인 국정 개입 의혹 등  
다이내믹한 대한민국의 영부인의 실체적 이야기를 다룬
용산 VIP를 둘러싼 문제적 다큐멘터리 영화"	6	2025-09-03	2025-09-27	4
24	히든페이스	4	김대우	"갇혔다 지켜봤다 벗겨졌다‘
 
지휘자 '성진'(송승헌)이 이끄는 오케스트라의 첼리스트이자 약혼녀 '수연'(조여정)이
어느 날 영상 편지만을 남겨둔 채 자취를 감춘다.
'성진'은 '수연'을 잃은 상실감에 고통스러워하지만,
그녀를 대신한 첼리스트 ‘미주’(박지현)에게 강한 끌림을 느낀다.
비 오는 밤, 서로의 욕망에 휩쓸린 ‘성진’과 ‘미주’는
‘수연’의 집에서 용서받지 못할 짓을 저지른다.
 
한편 사라진 줄 알았던 '수연'은
혼자서는 절대 나올 수 없는 집 안 밀실에 갇혀 숨겨진 민낯을 지켜보는데..."	18	2025-09-04	2025-09-20	3
25	매트릭스	2	릴리 워쇼스키	"진짜보다 더 진짜 같은 가상 현실 ‘매트릭스’
그 속에서 진정한 현실을 인식할 수 없게 되는 인간들.

그 ‘매트릭스’를 빠져 나오면서 AI에게 가장 위험한 인물이 된
‘모피어스’는 자신과 함께 인류를 구할 마지막 영웅 ‘그’를 찾아 헤맨다.
마침내 ‘모피어스’는 낮에는 평범한 회사원으로, 밤에는 해커로 활동하는
청년 ‘네오’를 ‘그’로 지목하는데…

꿈에서 깨어난 자들,
이제 그들이 만드는 새로운 세상이 열린다!"	20	2025-09-05	2025-09-30	6
26	무간도	2	유위강	"엇갈린 운명, 비극적 영웅의 이야기
경찰 스파이 진영인은 삼합회에 잠입해 십 년째 조직원으로 위장하며 살아가고 있다. 반대로 삼합회의 스파이 유건명은 경찰에 잠입해 뛰어난 강력반 요원으로 활동 중이다.

진영인은 경찰 신분을 되찾고 싶어 하고, 유건명은 조직원 신분에서 벗어나려 한다. 대규모 작전 중 서로의 존재를 알게 된 두 사람은 서로를 추적하며 점점 더 엇갈린 운명 속으로 빠져들게 된다.

"	5	2025-09-06	2025-09-27	6
27	해피투게더	3	왕가위	"“우리 다시 시작하자”
그가 다시 시작하자고 하면
난 늘 그와 함께했다 

홍콩을 떠나 지구 반대편 부에노스아이레스에 온 ‘보영’과 ‘아휘’
이과수 폭포를 찾아가던 중 두 사람은
사소한 다툼 끝에 이별하고 각자의 길을 떠난다. 

얼마 후 상처투성이로 ‘아휘’의 앞에 다시 나타난 ‘보영’은 
무작정 “다시 시작하자”고 말한다.
서로를 위로하며 점차 행복한 시간을 보내는 두 사람. 

하지만 ‘보영’의 변심이 두려운 ‘아휘’와
‘아휘’의 구속이 견디기 힘든 ‘보영’은 
또다시 서로의 마음에 상처 내는 말을 내뱉은 뒤 헤어지는데..."	15	2025-09-07	2025-09-21	1
28	나의 히어로 아카데미아 더 무비: 유어 넥스트	2	오카무라 텐사이	"“다음은 너다”
초자연능력 ‘개성’을 가진 인간이 당연해진 세계에서
옛 ‘평화의 상징’ NO.1 히어로 ‘올마이트’가 악의 제왕 ‘올 포 원’과의 사투 직후 한 말.
‘올마이트’의 의지는 데쿠와 유에이 고등학교 히어로과로 이어져 왔다.

유에이 2년 차 봄,
히어로 VS 빌런의 전면전이 발발하고 황폐해진 사회에 수수께끼의 남자가 나타난다.
스스로를 ‘올마이트를 대신하는 새로운 상징’이라고 말하는 ‘다크마이트’는
자신의 야망을 위해 ‘개성’으로 거대한 요새를 만들어 마을과 사람들을 차례로 삼켜간다!

‘다크마이트’의 등장과 동시에 특별한 ‘개성’을 지닌 ‘안나’라는 소녀,
그리고 그녀를 ‘아가씨’라고 부르는 ‘줄리오’라는 남자가 나타나는데…

데쿠와 바쿠고, 토도로키,
그리고 유에이 고교 1학년 A반은 ‘다크마이트’에 맞서 세계를 지킬 수 있을까?
“다음은 우리다!”"	3	2025-09-01	2025-09-22	5
29	힘을 낼 시간	2	남궁선	"평균 나이 약 26살! 전 재산은 98만 원?
우리는 시끌벅적한 여행을 계획했다!

주목받지 못해 은퇴한 아이돌
‘러브앤리즈’의 수민과 사랑, ‘파이브 갓 차일드’의 태희.
어디로 가야 할지 무엇을 해야 할지 알 수 없지만
학창 시절에 갈 수 없었던 수학여행을 뒤늦게 떠나 보기로 하는데…"	8	2025-09-09	2025-09-23	1
30	마미	3	자비에 돌란	"“엄마 우리 여전히 사랑하지?”

“우리가 제일 잘하는 게 사랑이잖아.”

 

불 같은 성격이지만 유쾌하고 당당한 엄마 '디안'은 거칠지만 사랑스러운 사고뭉치 아들 '스티브'가

보호시설에서 사고를 쳐 쫓겨나자 홈스쿨링을 시작한다.

엄마가 행복하다면 무엇이든 할 수 있는 아들 스티브와 함께 행복한 생활을 꿈꾸는 디안.

하지만 홀로 생계를 책임지며 불안정한 성격의 스티브를 돌보기란 쉽지 않다.

이때 이들 앞에 나타난 이웃집 여인 '카일라'. 카일라의 등장으로 세 사람은 유일하게 서로에게 의지하며

지금까지 느껴보지 못한 작은 행복을 찾아가게 된다.

그러던 어느 날, 디안 앞으로 한 장의 편지가 날아오는데…….

 

억척스럽지만 정 많고 속 깊은 엄마 '디안'

세상에서 엄마를 가장 사랑하는 유별난 사고뭉치 아들 '스티브’

그리고 그들 앞에 나타난 누구보다 따뜻한 그녀 ‘카일라’.

 

결핍으로 가득 찬 세 사람이 만나 하나의 소우주를 구성할 때,

그들의 세상은 비로소 시작된다."	8	2025-09-10	2025-09-30	2
31	1승	2	신연식	"""그래도 한 번은 이기겠죠?""

지도자 생활 평균 승률 10% 미만! 파직, 파면, 파산, 퇴출, 이혼까지 
인생에서도 ‘패배’ 그랜드슬램을 달성 중인 배구선수 출신 감독 ‘우진’은
해체 직전의 프로 여자배구단 ‘핑크스톰’의 감독을 맡아 달라는 제안을 받는다.

에이스 선수의 이적으로 이른바 ‘떨거지’ 선수들만 남은 팀 ‘핑크스톰’은
새로운 구단주 ‘정원’의 등장으로 간신히 살아나지만 실력도, 팀워크도 이미 해체 직전 상태.
그 와중에 막장, 신파는 옵션, 루저들의 성장 서사에 꽂힌 ‘정원’은 
‘핑크스톰’이 딱 한번이라도 1승을 하면 상금 20억을 풀겠다는 파격 공약을 내세운다. 

모두가 주목하는 구단이 됐지만 압도적인 연패 행진을 이어가는 ‘핑크스톰’.
패배가 익숙했던 ‘우진’도 점점 울화통이 치밀고, 
경험도 가능성도 없는 선수들과 함께 단 한번만이라도 이겨보고 싶은 마음이 생기는데…"	17	2025-09-01	2025-09-19	2
32	와일드 로봇	1	크리스 샌더스	"뉴욕타임즈 베스트셀러 & 아마존 올해의 책!
전 세계를 매료시킨 아동 문학 거장 피터 브라운 소설 첫 영화화!
<드래곤 길들이기> 제작진이 선사하는 따뜻한 감성 어드벤처
 
“이 비행은 너에게 주는 선물이야”
우연한 사고로 거대한 야생에 불시착한 로봇 '로즈'는
주변 동물들의 행동을 배우며 낯선 환경 속에 적응해 가던 중,
사고로 세상에 홀로 남겨진 아기 기러기 '브라이트빌'의 보호자가 된다.
 
‘로즈'는 입력되어 있지 않은 새로운 역할과 관계에 낯선 감정을 마주하고
겨울이 오기 전에 남쪽으로 떠나야 하는 '브라이트빌'을 위해
동물들의 도움을 받아 이주를 위한 생존 기술을 가르쳐준다.
 
그러나 선천적으로 몸집이 작은 '브라이트빌'은 짧은 비행도 힘겨워 하는데...
로봇 '로즈'와 아기 기러기 '브라이트빌'은 특별한 기적을 일으킬 수 있을까?"	3	2025-09-02	2025-09-16	6
33	청설	1	조선호	"손으로 설렘을 말하고
가슴으로 사랑을 느끼는,
청량한 설렘의 순간

대학생활은 끝났지만 하고 싶은 것도,
되고 싶은 것도 없어 고민하던 ‘용준’(홍경).
엄마의 등쌀에 떠밀려 억지로 도시락 배달 알바를 간 ‘용준’은
완벽한 이상형 ‘여름’(노윤서)과 마주친다.
부끄러움은 뒷전, 첫눈에 반한 ‘여름’에게
‘용준’은 서툴지만 솔직하게 다가가고
여름의 동생 ‘가을’(김민주)은 용준의 용기를 응원한다.

손으로 말하는 ‘여름’과 더 가까워지기 위해
더 잘 듣기보단 더 잘 보고 느끼려 노력하지만,
마침내 가까워졌다 생각하던 찰나 ‘여름’은
왜인지 자꾸 ‘용준’과 멀어지려 하는데…"	15	2025-09-03	2025-09-30	4
34	암화	4	유달지	"암화'는 '지하 폭력 세계의 암살자'를 의미한다.
샘은 형사와 조직의 일원이라는 이중생활을 즐기며,
형사 신분을 이용해 갱단의 보스인 렁을 죽이려는 자들을 없앤다.
어느 날, 카지노에 험상궂게 생긴 토니가 나타나고
샘은 토니도 렁을 죽이려는 자로 생각하여
그를 뒤쫓지만 번번이 실패한다.
샘은 토니가 조직을 이간질해 충돌을 일으키려고 한다는 사실을 알아내지만,
오히려 토니가 만든 함정에 걸려들어 조직에서 샘을 의심하고 제거하려 한다.
결국 벼랑 끝에 몰린 샘은 경찰과 갱들을 피해
토니인 것처럼 위장하여 빠져나갈 궁리를 세우고
토니를 제거하기 위해 총격을 벌이지만 뜻하지 않은 사고가 발생하는데..."	18	2025-09-04	2025-09-20	5
35	아키라	3	오토모 가츠히로	"무너진 도쿄,
그리고 비밀리에 진행되는 프로젝트!
제3차 세계대전 이후 붕괴된 도쿄 그곳에
새로 건설된 혼란스러운 도시 ‘네오 도쿄’.
오토바이를 몰며 폭주를 일삼던 소년 카네다는
친구 테츠오가 예상치 못한 사고를 당하며
정부의 비밀 프로젝트의 실험체가 되었음을 알게 되는데…"	3	2025-09-05	2025-09-26	6
36	X를 담아, 당신에게	3	테아 샤록	"범인은 이 안에 있어? 
 

1920년대, 영국의 작은 해안 마을 리틀 햄튼.
어느 날, 신실하고 보수적인 독신 여성 '이디스' 앞으로
충격적인 욕설 편지가 도착한다.
입에 담지도 못할 욕설로 가득한 익명의 편지들로
온 마을이 발칵 뒤집히고,
이 편지 테러 사건은 곧 영국 전역의 뜨거운 관심을 받게 된다.
사람들의 오해가 쌓이며 사건은 전혀 예상치 못한 방향으로 흘러가고,
유력한 용의자로 아일랜드 이민자 출신 '로즈'가 떠오르는데…
과연 이 문제의 발신자는 '로즈'일까,
아니면 그저 가벼운 장난을 치고 싶던 다른 누군가일까."	4	2025-09-06	2025-09-27	1
