r_no	u_no	m_no	r_setname	r_price	r_people	r_time	r_date
115	10	21	H8,H9	30000	2	15:00	2025-09-18
116	4	5	C3	15000	1	0:00	2025-09-11
117	6	22	G7,G8	27000	2	9:00	2025-09-15
118	8	22	D5	12000	1	9:00	2025-09-07
119	8	16	E4,E5,E6	39000	3	21:00	2025-09-24
120	2	21	A5	15000	1	3:00	2025-09-16
121	7	26	F3,F4,F5	45000	3	12:00	2025-09-14
122	9	15	I7	15000	1	9:00	2025-09-06
123	5	23	A5	12000	1	9:00	2025-09-26
124	8	10	G4	12000	1	9:00	2025-09-11
125	3	29	G3,G4	30000	2	12:00	2025-09-23
126	7	24	A5,A6,A7	42000	3	12:00	2025-09-19
127	2	3	C1,C2	27000	2	3:00	2025-09-15
128	7	13	D5	15000	1	0:00	2025-09-17
129	4	5	B6,B7,B8	45000	3	0:00	2025-09-20
130	2	15	F3,F4	27000	2	3:00	2025-09-18
131	3	20	E7	15000	1	9:00	2025-09-13
132	6	1	E5	12000	1	15:00	2025-09-02
133	4	30	H7	15000	1	15:00	2025-09-29
134	1	22	D3,D4,D5	42000	3	9:00	2025-09-10
135	2	28	A1,A2	30000	2	12:00	2025-09-11
136	7	29	I6	15000	1	15:00	2025-09-22
137	1	10	B4	12000	1	3:00	2025-09-28
138	3	12	E4	15000	1	21:00	2025-09-07
139	10	25	G2	15000	1	9:00	2025-09-13
140	5	27	I3	12000	1	15:00	2025-09-21
141	6	21	D3,D4,D5	36000	3	0:00	2025-09-18
142	2	13	F4,F5,F6	39000	3	0:00	2025-09-15
143	4	6	A6	15000	1	15:00	2025-09-03
144	2	11	G8,G9	24000	2	21:00	2025-09-07
145	7	13	F6	15000	1	0:00	2025-09-05
146	6	19	C6	12000	1	12:00	2025-09-18
147	10	15	G5,G6,G7	45000	3	9:00	2025-09-05
148	3	12	C8,C9	30000	2	12:00	2025-09-02
149	9	3	F1,F2	27000	2	21:00	2025-09-03
150	4	11	D3,D4,D5	39000	3	12:00	2025-09-01
151	2	28	A3,A4,A5	45000	3	18:00	2025-09-01
152	3	8	C6,C7	27000	2	3:00	2025-09-08
153	4	27	F3	15000	1	21:00	2025-09-07
154	8	20	C4,C5,C6	36000	3	9:00	2025-09-13
155	7	11	G6	15000	1	9:00	2025-09-05
156	5	36	D5,D6,D7	36000	3	12:00	2025-09-07
157	10	7	I5,I6,I7	45000	3	15:00	2025-09-08
158	3	11	F3,F4,F5	45000	3	18:00	2025-09-03
159	9	4	D4	15000	1	3:00	2025-09-05
160	6	7	H4,H5,H6	42000	3	0:00	2025-09-13
161	2	27	H4,H5	30000	2	15:00	2025-09-21
162	4	29	D1,D2	30000	2	15:00	2025-09-09
163	8	3	E6,E7	27000	2	21:00	2025-09-15
164	3	33	G8,G9	30000	2	15:00	2025-09-04
165	6	32	E1	12000	1	15:00	2025-09-11
166	5	7	D4	12000	1	18:00	2025-09-15
167	2	17	E3,E4,E5	45000	3	12:00	2025-09-20
168	9	10	H5,H6,H7	39000	3	15:00	2025-09-27
169	3	26	F8,F9	30000	2	12:00	2025-09-10
170	5	10	I7	12000	1	9:00	2025-09-15
171	4	14	G3,G4,G5	45000	3	0:00	2025-09-18
172	10	4	C4,C5	30000	2	18:00	2025-09-18
173	7	16	G8,G9	30000	2	12:00	2025-09-15
174	1	14	B5,B6,B7	36000	3	3:00	2025-09-14
175	2	4	H4	15000	1	0:00	2025-09-18
176	9	2	D3,D4	27000	2	18:00	2025-09-09
177	6	22	E6	12000	1	9:00	2025-09-11
178	5	4	H1,H2	27000	2	18:00	2025-09-17
179	4	5	B3,B4,B5	45000	3	21:00	2025-09-26
180	1	10	A3,A4	27000	2	9:00	2025-09-22
181	9	27	D4	15000	1	15:00	2025-09-11
182	9	17	F6	15000	1	12:00	2025-09-20
183	7	18	A6,A7,A8	42000	3	12:00	2025-09-21
184	7	22	I3,I4	30000	2	9:00	2025-09-08
185	5	33	F5,F6,F7	42000	3	12:00	2025-09-17
186	2	21	E4	15000	1	15:00	2025-09-17
187	1	25	A3	12000	1	18:00	2025-09-29
